Lex-analyzer started at: 2024-11-11 23:40:01.029315

Token: VOID, Value: void, Line: 1
Token: VARIABLE, Value: main, Line: 1
Token: LPAREN, Value: (, Line: 1
Token: RPAREN, Value: ), Line: 1
Token: LBRACE, Value: {, Line: 1
Token: INTEGER, Value: int, Line: 2
Token: VARIABLE, Value: edad, Line: 2
Token: ASSIGN, Value: =, Line: 2
Token: NUMBER, Value: 20, Line: 2
Token: SEMICOLON, Value: ;, Line: 2
Token: DOUBLE, Value: double, Line: 3
Token: VARIABLE, Value: altura, Line: 3
Token: ASSIGN, Value: =, Line: 3
Token: FLOAT, Value: 1.70, Line: 3
Token: SEMICOLON, Value: ;, Line: 3
Token: STRING, Value: String, Line: 4
Token: VARIABLE, Value: nombre, Line: 4
Token: ASSIGN, Value: =, Line: 4
Token: STRING_LITERAL, Value: "Carlos", Line: 4
Token: SEMICOLON, Value: ;, Line: 4
Token: BOOL, Value: bool, Line: 5
Token: VARIABLE, Value: esEstudiante, Line: 5
Token: ASSIGN, Value: =, Line: 5
Token: TRUE, Value: true, Line: 5
Token: SEMICOLON, Value: ;, Line: 5
Token: VARIABLE, Value: num, Line: 7
Token: VARIABLE, Value: peso, Line: 7
Token: ASSIGN, Value: =, Line: 7
Token: FLOAT, Value: 65.5, Line: 7
Token: SEMICOLON, Value: ;, Line: 7
Token: VARIABLE, Value: dynamic, Line: 8
Token: VARIABLE, Value: flexible, Line: 8
Token: ASSIGN, Value: =, Line: 8
Token: STRING_LITERAL, Value: "Texto", Line: 8
Token: SEMICOLON, Value: ;, Line: 8
Token: VARIABLE, Value: Object, Line: 9
Token: VARIABLE, Value: persona, Line: 9
Token: ASSIGN, Value: =, Line: 9
Token: STRING_LITERAL, Value: "Juan", Line: 9
Token: SEMICOLON, Value: ;, Line: 9
Token: STRING, Value: String, Line: 11
ERROR: Illegal character '?'
Token: VARIABLE, Value: apellido, Line: 11
Token: SEMICOLON, Value: ;, Line: 11
Token: VARIABLE, Value: apellido, Line: 12
Token: ASSIGN, Value: =, Line: 12
Token: STRING_LITERAL, Value: "Pérez", Line: 12
Token: SEMICOLON, Value: ;, Line: 12
Token: LIST, Value: List, Line: 14
Token: LESS_THAN, Value: <, Line: 14
Token: INTEGER, Value: int, Line: 14
Token: GREATER_THAN, Value: >, Line: 14
Token: VARIABLE, Value: numeros, Line: 14
Token: ASSIGN, Value: =, Line: 14
Token: LSQUARE, Value: [, Line: 14
Token: NUMBER, Value: 1, Line: 14
Token: COMMA, Value: ,, Line: 14
Token: NUMBER, Value: 2, Line: 14
Token: COMMA, Value: ,, Line: 14
Token: NUMBER, Value: 3, Line: 14
Token: RSQUARE, Value: ], Line: 14
Token: SEMICOLON, Value: ;, Line: 14
Token: SET, Value: Set, Line: 15
Token: LESS_THAN, Value: <, Line: 15
Token: STRING, Value: String, Line: 15
Token: GREATER_THAN, Value: >, Line: 15
Token: VARIABLE, Value: frutas, Line: 15
Token: ASSIGN, Value: =, Line: 15
Token: LBRACE, Value: {, Line: 15
Token: STRING_LITERAL, Value: "manzana", Line: 15
Token: COMMA, Value: ,, Line: 15
Token: STRING_LITERAL, Value: "pera", Line: 15
Token: COMMA, Value: ,, Line: 15
Token: STRING_LITERAL, Value: "uva", Line: 15
Token: RBRACE, Value: }, Line: 15
Token: SEMICOLON, Value: ;, Line: 15
Token: MAP, Value: Map, Line: 16
Token: LESS_THAN, Value: <, Line: 16
Token: STRING, Value: String, Line: 16
Token: COMMA, Value: ,, Line: 16
Token: INTEGER, Value: int, Line: 16
Token: GREATER_THAN, Value: >, Line: 16
Token: VARIABLE, Value: edades, Line: 16
